accommodation_id,Sector,Property Reg Number,Account Name,Rating,Address City/Town,Address County,Eircode/Postal code,Latitude,Longitude,Owner(s) as it appears on Register,Total Units
467,1,HHS04109,Landmark Hotel,4.0,Carrick-On-Shannon,4.0,N41 N9W4,53.94355,-8.09284,Jennifer Logan,49
468,1,HHS04115,WatersEdge Hotel,4.0,Cobh,4.0,P24 HC60,51.84903,-8.29791,William Savage,19
469,1,HHS04119,Meadow Court,4.0,Loughrea,4.0,H62 N922,53.21027,-8.63621,Danny Concannon,21
470,1,HHS04123,Brook Lodge Hotel,4.0,Killarney,4.0,V93 EY48,52.06078,-9.5125,Patrick Eviston,30
471,1,HHS04124,The Lord Bagenal Inn,4.0,Leighlinbridge,4.0,R93 E189,52.73621,-6.97675,James Kehoe,40
472,1,HHS33297,The Ripley Court Hotel,4.0,Dublin 1,4.0,D01 E8R5,53.35131,-6.25181,Gill McEvoy,120
473,1,HHS04127,Zuni Restaurant and Boutique Hotel,4.0,Kilkenny,4.0,R95 A897,52.64961,-7.25193,Paul Byrne,13
474,1,HHS04128,Abbeyleix Manor,4.0,Abbeyleix,4.0,R32 VE24,52.90649,-7.35262,April Kent,44
475,1,HHS04134,Kilkenny Hibernian Hotel,4.0,Kilkenny,4.0,R95 WTK3,52.65022,-7.25209,Andrew Lambert,46
476,1,HHS04135,Dillons Hotel,4.0,Letterkenny,4.0,F92 F9DX,54.95071,-7.73666,Robert Mc Elhinney,91
477,1,HHS04136,Paramount Hotel,4.0,Dublin 2,4.0,D02 DP90,53.34469,-6.26765,Mark Cullen,70
478,1,HHS04140,An Chúirt Hotel,4.0,Gweedore,4.0,F92 AP60,55.04854,-8.22241,Francis Breslin,64
479,1,HHS04152,Ballina Manor Hotel,4.0,Ballina,4.0,F26 HY84,54.11259,-9.15404,Edel Doherty,84
480,1,HHS04155,Creggan Court Hotel,4.0,Athlone,4.0,N37 YW25,53.41035,-7.89419,Philip Byrne,71
481,1,HHS04156,Achill Cliff House,4.0,Achill Island,4.0,F28 PX08,53.9761,-10.08122,Teresa McNamara,10
482,1,HHS04159,Breffni Arms Hotel,4.0,Arvagh,4.0,H12 CP38,53.92443,-7.5834,Eamonn Gray,12
483,1,HHS04164,Mulcahy's Hotel,4.0,Clonmel,4.0,E91 C7Y8,52.35377,-7.70171,Sharon Higgins,17
484,1,HHS04165,Royal Spa Hotel,4.0,Lisdoonvarna,4.0,V95 X6WX,53.02861,-9.29009,Ann Doherty,12
485,1,HHS04166,The Ashbourne Court Hotel,4.0,Ashbourne,4.0,A84 XP86,53.51008,-6.39696,Edyta Pietka,57
486,1,HHS04167,Villa Rose Hotel,4.0,Ballybofey,4.0,F93 C2CF,54.7996,-7.78148,Thomas Gallen,57
487,1,HHS04171,The Victoria,4.0,Killarney,4.0,V93 K0FE,52.04334,-9.50005,John Courtney,33
488,1,HHS04172,Bracken Court,4.0,Balbriggan,4.0,K32 D521,53.60893,-6.18294,Yvonne Moriarty,66
489,1,HHS04173,InterContinental Dublin,5.0,Dublin 4,5.0,D04 A9K8,53.32651,-6.22569,Doiran Kavanagh,215
490,1,HHS04174,Gateway Hotel,4.0,Swinford,4.0,F12 K7F4,53.94446,-8.95097,Trish Egan,21
491,1,HHS04176,The Mariner Westport,4.0,Westport,4.0,F28 W942,53.79855,-9.52139,Colette Cave,34
492,1,HHS04177,An Crúiscín Lán,4.0,Spiddal,4.0,H91 F853,53.24398,-9.30653,Oisin Foye,14
493,1,HHS04178,Loch Lein Country House Hotel,4.0,Fossa,4.0,V93 HKF5,52.06866,-9.5868,Paul Corridan,25
494,1,HHS04182,Ormond Hotel,4.0,Nenagh,4.0,E45 WF53,52.8617,-8.19788,Dermot Kinane,10
495,1,HHS04183,Sliabh Beagh Hotel & Tourism Centre,4.0,Knockatallon,4.0,H18 H985,54.30635,-7.12933,Adrian Hackett,12
