Name,Rating,Latitude,Longitude,Address,Tags
Kilcooley Abbey,4.4,52.6707686,-7.571309400000001,"Kilcoolyabbey, Kilcooley Abbey, Co. Tipperary, Ireland","tourist_attraction, point_of_interest, establishment"
St. Michael’s Tower the Archangel,4.8,53.3431106,-6.2719514,"Merchants Quay, Dublin, Ireland","point_of_interest, establishment"
Free Derry Corner,4.7,54.9957684,-7.326761,"Lecky Rd, Glenfada Park, Londonderry BT48 9DR, United Kingdom","tourist_attraction, point_of_interest, establishment"
Donaghmore Round Tower,4.5,53.670453,-6.662465099999999,"Donaghmore, Co. Meath, Ireland","point_of_interest, establishment"
Red Abbey Tower,4.1,51.8940803,-8.4723037,"Red Abbey St, Ballintemple, Cork, Ireland","tourist_attraction, point_of_interest, establishment"
Kilgowan Standing Stone,4.6,53.077985,-6.763614,"Whitehall, Co. Kildare, Ireland","point_of_interest, establishment"
Castledermot Abbey,4.6,52.9083894,-6.836797499999999,"Abbeyland, Castledermot, Co. Kildare, Ireland","tourist_attraction, museum, point_of_interest, establishment"
Kinnitty Pyramid,4.4,53.0961676,-7.719945699999999,"Ballyshane Rd, Lismoney, Co. Offaly, Ireland","point_of_interest, establishment"
St. Patrick's Tower at The Digital Hub,4.5,53.3439852,-6.2840836,"The Digital Hub, Roe Ln, The Liberties, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Farmleigh Clock Tower,4.6,53.3633681,-6.362724,"Castleknock, Co. Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Corcomroe Abbey,4.7,53.1268421,-9.0540065,"Corcomroe Rd, Abbey West, Co. Clare, Ireland","point_of_interest, establishment"
Sandycove Castle,4.7,53.287178,-6.114911999999999,"9 Sandycove Ave W, Bullock, Dublin, A96 A5N5, Ireland","tourist_attraction, point_of_interest, establishment"
Lissenhall Medieval Bridge,4.2,53.47109,-6.212251999999999,"Broadmeadow Rd, River Valley, Swords, Co. Dublin, Ireland","point_of_interest, establishment"
Clock Tower,4.6,53.3715632,-6.175176400000001,"St Anne's Park, Clontarf East, Dublin 5, D18 XT21, Ireland","point_of_interest, establishment"
Dublin Castle,4.3,53.34288609999999,-6.2674284,"Dame St, Dublin 2, Ireland","tourist_attraction, point_of_interest, establishment"
